trend,value
Pandemic,15097
corona,1523
#coronavirus,1424
Coronavirus,1520
quarantine,1491
COVID-19,1481
COVID,1309
#CoronaOutbreak,13338
#Covid_19Wuhan,13
World health organization,1476
WHO,1480
CDC,1511
testing,1502
flatten the curve,13442
#FlattenTheCurve,846
#WorkingFromHomeLife,600
Easter,1498
isolation,1480
PPE,1521
social distancing,27960
#WhyIWasQuarantined,646
6 feet,13909
6ft,1513
respirator,1470
ventilator,1488
self-quarantine,1481
Stay-at-home order,1321
stay at home,14837
stay home,1485
stay safe,1492
#StayHomeStaySafe,710
virus,1497
#WhyImStillQuarantined,58
#PrimaryElection,6403
#remoteworking,6466
#flatteningthecurve,753
#CancelEverythingNow,439
#CoronavirusPandemic,1174
#FridayThe13th,1413
#SocialDistance,818
#coronapocalypse,13090
#NationalEmergency,1220
#TrumpPressConference,811
#QuarantineAndChill,682
#selfisolationgame,514
#NetflixAndStayStill,675
#panicshopping,11952
toilet paper,1524
#StayHome,1352
#ThingsYouShouldHoard,2493
shutdown,11570
#StayHomeSaveLives,658
#LALockdown,558
#workingfromhome,13325
#homeschooling,1460
#QuarantineLife,725
#NYCLockdown,581
#TogetherApart,12882
Tom Brady,1473
#StimulusPackage2020,600
#PPEshortage,624
#WhenILeaveMyHouseAgain,1559
#SocialDistancingPickUpLines,5814
#QuarentineLife,4330
Netflix,1497
Amazon,1372
#californiashutdown,538
#2020InOneWord,8335
#PlayInside,2468
#TigerKingNetflix,523
#HomeSchoolingIn5Words,126
#WhenThisIsAllOver,533
#lovethyneighbor,12882
#TopTenFavoriteFilms,94
#ChurchOnline,829
#Social_Distancing,673
#Olympics2020,1484
lockdown,1504
#TacoTuesday,14065
#IKnewIHadCabinFeverWhen,251
#SomeGoodNews,503
#RentFreeze2020,464
#OpeningDayAtHome,396
#InMyAloneTime,348
#ClapBecauseWeCare,3692
#WhatIAmLearningInQuarantine,5716
#RentRelief,640
#WhenCoronaVirusIsOver,779
#WhenIRunOutOf,382
#ImSoBoredI,3056
#NationalDoctorsDay,17125
#workingfromhometips,609
#WaybackInTheGoodOldDays,66
#TakeOutTuesday,6308
#AprilFoolsDay,4757
carry out,1626
streaming,1655
live sports,1574
Zoom,1824
Facetime,5465
mask,11384
hand sanitizer,1596
home workout,1624
Instagram challenge,1597
TikTok,1510
NYSE,9691
S&P 500,1604
#marketcrash,1153
NY Fed,1640
USNS Comfort,857
#SuperTuesday2,236
Fauci,1711
Trump,15406
Biden,1688
unemployment,1710
Seattle,1700
France,1521
Spain,1572
Italy,15213
UK,1569
Michigan,1590
Florida,1580
China,1576
Louisiana,1591
NYC,1625
New York,15264
New Jersey,1599
hospital,1612
doctor,1559
nurse,1508
digital date night,226
essential workers,12150
#handwashingsaveslives,67
#washyourhands,1680
stimulus check,13586
#broke,1662
#startingnewhobbies,0
#selfcare,1718
procrastination,1644
#quarantinebucketlist,90
#sweatseveryday,10
bingo,14217
